形式语言与编译,操作系统原理i,操作系统设计专题实验,数据库系统,编译器设计专题实验,计算机组成,计算机组成与结构专题实验,计算机网络专题实验,计算机网络原理
85,87,98,82,82,84,84,87,78
77,86,83,86,87,74,80,87,78
83,88,98,95,87,93,91,83,78
84,86,92,87,88,89,90,87,78
77,89,98,83,95,60,79,92,78
75,88,92,88,91,77,70,87,78
77,76,87,81,83,62,83,92,78
74,76,87,80,81,80,95,83,78
68,72,83,78,72,60,95,79,78
71,82,92,76,79,77,95,87,78
68,80,93,70,83,71,85,92,78
68,75,83,80,72,67,95,76,78
68,87,92,76,81,74,88,83,78
74,87,87,62,79,67,78,88,78
67,76,92,78,73,70,95,79,78
85,86,87,64,71,67,66,87,78
67,82,92,67,88,79,83,91,78
80,80,92,70,80,82,81,87,78
69,80,90,73,78,63,85,87,78
84,72,83,69,84,71,95,70,78
60,70,70,64,71,65,81,66,78
82,86,87,60,83,60,90,76,78
60,88,83,73,87,76,97,83,78
68,72,98,83,87,85,95,83,78
78,85,87,82,97,70,98,92,78
74,75,92,78,76,69,98,73,78
60,72,83,74,81,75,70,76,78
55,68,87,73,80,63,87,87,78
89,0,0,0,80,0,0,87,78
60,80,92,60,60,60,98,79,77
65,78,92,76,77,79,87,98,77
79,89,88,88,80,89,80,92,77
0,91,98,86,95,82,96,87,77
77,86,98,85,71,79,100,87,77
70,65,98,72,79,65,79,76,77
69,86,98,80,96,85,98,98,77
83,71,98,88,82,81,95,98,77
66,73,90,78,80,84,93,85,77
0,83,87,87,87,68,87,92,77
62,88,92,74,84,93,87,70,77
83,87,92,76,76,86,95,70,77
81,86,93,82,88,77,88,89,77
89,84,89,72,85,62,79,87,77
76,78,94,72,79,62,85,90,77
71,76,83,73,65,70,95,83,77
69,81,92,81,79,83,79,76,77
60,76,98,75,95,81,87,98,77
74,83,92,78,85,69,89,88,77
81,84,79,80,79,69,69,85,77
72,82,92,82,85,84,95,92,77
70,87,92,75,87,83,79,76,77
87,73,83,77,77,69,83,83,77
69,70,85,68,78,65,70,85,77
61,82,61,71,85,72,80,89,77
77,78,70,71,60,88,70,83,77
73,81,87,78,66,73,95,98,77
77,79,92,84,86,81,79,76,77
67,65,98,71,78,67,98,76,77
68,85,77,73,80,76,79,89,77
76,76,83,76,84,82,70,79,77
60,76,92,60,84,79,83,79,77
