大学物理II-2,大学物理实验I-1,操作系统设计专题实验,数字逻辑电路,概率统计与随机过程,电路,离散数学a,线性代数与解析几何
80,86,98,85,93,78,85,96
85,81,92,69,78,78,69,81
81,79,84,81,86,78,81,93
87,87,92,84,72,78,82,91
86,92,92,73,62,78,79,85
89,98,0,87,96,78,83,96
70,82,73,67,61,78,61,73
81,83,92,73,77,78,89,88
0,92,92,79,87,78,89,98
61,88,92,61,70,78,73,64
80,0,0,80,0,78,0,0
83,83,92,80,70,78,85,80
87,0,92,0,0,78,84,0
85,85,88,74,82,78,78,87
85,87,98,60,68,78,79,75
90,83,98,86,75,78,81,74
92,86,87,85,91,77,72,93
92,98,98,81,72,77,86,73
80,88,92,85,68,77,68,80
77,92,98,79,90,77,93,92
80,83,83,84,78,77,83,91
0,87,0,78,72,77,86,91
80,88,95,76,82,77,88,83
69,85,92,71,78,77,85,93
91,79,0,69,71,77,81,93
76,83,98,86,66,77,72,82
76,80,98,80,80,77,72,69
0,87,92,79,60,77,78,85
90,92,0,75,95,77,86,95
67,85,93,65,78,77,82,83
88,83,92,83,71,77,74,84
89,87,92,70,74,77,75,81
89,83,97,89,88,77,69,72
83,91,83,76,66,77,62,76
70,89,90,70,71,77,82,84
88,79,83,82,88,77,77,80
82,83,95,65,62,77,66,85
82,83,0,70,55,77,75,83
80,92,92,75,72,77,80,69
79,83,92,70,75,77,78,79
84,87,92,81,86,77,91,85
84,83,87,79,81,77,85,93
83,90,92,80,87,77,82,75
73,87,0,82,69,77,78,87
85,87,91,68,73,77,90,94
73,85,93,82,80,77,82,81
91,98,0,78,90,77,88,95
86,83,0,87,81,77,82,80
83,87,92,90,77,76,89,0
81,87,98,81,70,76,80,90
85,83,0,81,77,76,92,79
60,88,98,70,77,76,68,60
80,75,92,70,90,76,86,99
73,87,98,73,71,76,78,77
63,88,92,71,71,76,64,61
74,81,83,69,60,76,72,43
92,83,0,87,90,76,88,87
82,79,0,78,82,76,83,93
73,84,92,71,81,76,72,81
65,87,87,61,60,76,72,75
64,82,92,78,66,76,74,74
72,81,70,62,71,76,80,91
80,82,83,88,76,76,72,60
93,83,92,90,78,76,89,0
82,87,92,73,72,76,81,85
67,87,92,74,62,76,72,66
78,87,98,74,62,76,75,68
82,84,93,79,81,76,95,94
95,87,94,83,90,76,99,96
76,92,30,62,46,76,70,85
85,85,87,65,69,76,84,71
90,86,98,89,83,76,86,95
62,0,0,27,26,76,62,12
76,87,87,83,74,76,67,83
87,87,87,90,70,76,81,86
